pathway_id,pathway_name,n_genes,omni_p_final,omni_p_mvn,omni_p_analytic,omni_p_mvn_compcal,acat_p,fisher_p,minp_p_analytic,stouffer_p_analytic,tfisher_p_analytic,tau_hat,acat_p_mvn_cal,fisher_p_mvn_cal,tfisher_p_mvn_cal,minp_p_mvn_cal,stouffer_p_mvn_cal,perm
ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),15,9.99900009999e-05,9.99900009999e-05,7.28664948657087e-07,,0.00916836752019858,5.29013802218047e-05,0.0105993112231985,8.63000210819083e-05,1.46387799659919e-07,1,,,,,,81
FASYN-ELONG-PWY,fatty acid elongation -- saturated,12,9.99900009999e-05,9.99900009999e-05,1.94823110200026e-07,,0.00918906762799241,4.29593577795343e-05,0.0117414552651522,2.24504017989968e-05,3.90681587081332e-08,1,,,,,,81
GLUT-REDOX-PWY,glutathione-glutaredoxin redox reactions,5,9.99900009999e-05,9.99900009999e-05,3.04288344493697e-06,,0.015848692222067,0.000449561128618853,0.0237103741025158,0.000168592163112897,6.11651740811681e-07,1,,,,,,81
GLUTORN-PWY,L-ornithine biosynthesis I,9,9.99900009999e-05,9.99900009999e-05,7.62158623383025e-05,,0.00618704854019549,0.000865700060510517,0.0063731352927856,0.00376486754446207,1.56582953706463e-05,0.5,,,,,,81
LIPAS-PWY,triacylglycerol degradation,117,9.99900009999e-05,9.99900009999e-05,1.62977853435109e-10,,0.0249374846651992,2.91696602053118e-09,0.0552443904786946,1.21539601369937e-09,3.38828964885352e-11,1,,,,,,81
PWY-1121,suberin monomers biosynthesis,67,9.99900009999e-05,9.99900009999e-05,1.58371364911147e-08,,0.0272896980319459,5.99189376171792e-07,0.0933682901641685,7.4064986535616e-07,3.19800952386373e-09,1,,,,,,81
PWY-3781,aerobic respiration I (cytochrome c),297,9.99900009999e-05,9.99900009999e-05,2.18349782699079e-11,,0.0338492051803245,2.82268944189615e-10,0.0553888766677209,9.031710814643e-12,8.7163609663321e-12,1,,,,,,81
PWY-3981,&beta;-alanine biosynthesis I,10,9.99900009999e-05,9.99900009999e-05,6.35959001366038e-06,,0.00196060253957153,0.00047847144636168,0.00206927062458695,0.0117991859180184,1.27706384400739e-06,0.05,,,,,,81
PWY-4302,aerobic respiration III (alternative oxidase pathway),62,9.99900009999e-05,9.99900009999e-05,6.67377335061836e-08,,0.00988368727303223,1.62076915129969e-06,0.0118247525738172,5.77434022545179e-07,1.37795788113237e-08,1,,,,,,81
PWY-5048,rosmarinic acid biosynthesis I,25,9.99900009999e-05,9.99900009999e-05,7.16093850883226e-15,,0.00235268037568306,1.51647213755422e-08,0.00283239208562336,1.5746838611246e-06,1.4432899320127e-15,0.5,,,,,,81
PWY-5083,NAD/NADH phosphorylation and dephosphorylation,52,9.99900009999e-05,9.99900009999e-05,3.25567350856204e-12,,0.00121418207436015,5.41038051797194e-09,0.00140459163299,1.28671797269887e-08,6.51256826245117e-13,1,,,,,,81
PWY-5125,anthocyanin biosynthesis,13,9.99900009999e-05,9.99900009999e-05,4.9960036108132e-15,,0.000999763647095133,6.59102816046714e-08,0.00146787460671438,7.31016423944761e-07,1e-15,0.5,,,,,,81
PWY-5136,fatty acid &beta;-oxidation II (peroxisome),15,9.99900009999e-05,9.99900009999e-05,4.91678691982855e-07,,0.0144185803068319,4.6496129138293e-05,0.0181209476155823,9.01201704145876e-05,9.8653236246804e-08,0.5,,,,,,81
PWY-6369,inositol diphosphates biosynthesis,3,9.99900009999e-05,9.99900009999e-05,7.87966632220805e-06,,0.00180802524944833,0.00114104438000561,0.00182678648673063,0.00217647602980534,1.58200735800307e-06,1,,,,,,81
PWY-6457,cinnamoyl-CoA biosynthesis,9,9.99900009999e-05,9.99900009999e-05,4.9960036108132e-15,,0.00515464137725094,1.53789454923256e-08,0.0130804244087489,2.38538495792321e-09,1e-15,1,,,,,,81
PWY-7193,pyrimidine ribonucleosides salvage I,10,9.99900009999e-05,9.99900009999e-05,2.41858363626002e-05,,0.0079708116239892,0.00043309624007908,0.00922527714989851,0.000327717997907176,4.97170085411725e-06,1,,,,,,81
PWY18C3-22,methylsalicylate biosynthesis,4,9.99900009999e-05,9.99900009999e-05,1.29838570733787e-06,,0.00922772546378586,0.000630299462688389,0.0131019308153383,0.00420129020914326,2.59812695246886e-07,0.5,,,,,,81
PWY1F-467,"phenylpropanoid biosynthesis, initial reactions",11,9.99900009999e-05,9.99900009999e-05,4.9960036108132e-15,,0.00600987105751537,5.31415492549653e-09,0.0159638706671028,1.22982112857919e-09,1e-15,1,,,,,,81
PWYQT-4427,sulfoquinovosyl diacylglycerol biosynthesis,4,9.99900009999e-05,9.99900009999e-05,3.01941577851572e-08,,0.00014280747327116,0.000307938319695464,0.000142828349386281,0.00670680286847845,6.03946614941009e-09,0.01,,,,,,81
PWY-6483,ceramide degradation,7,0.0001999800019998,0.0001999800019998,5.15191641181634e-07,,0.0186246792813715,0.000150447475219233,0.044340891687546,0.000209610503991562,1.0316049958714e-07,0.5,,,,,,81
PWY-6619,adenine and adenosine salvage VI,2,0.0001999800019998,0.0001999800019998,5.4773071328007e-05,,0.0182114076917967,0.00302204521856936,0.0324995645439999,0.00156514160730966,1.10827377076683e-05,1,,,,,,81
PWY-6665,pterostilbene biosynthesis,27,0.0001999800019998,0.0001999800019998,6.00099584469049e-08,,0.00902040750113613,6.14196821751896e-06,0.0202873036996618,7.70352417615543e-06,1.20443154338901e-08,1,,,,,,81
PWY0-166,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>),28,0.0001999800019998,0.0001999800019998,0.000107859430731994,,0.0730328673516995,0.000369886057685646,0.243628957782538,0.000160696209328127,2.67283528999629e-05,1,,,,,,81
PWYQT-4445,pyrimidine salvage pathway,15,0.0001999800019998,0.0001999800019998,6.78922696885076e-05,,0.0513229861564593,0.000484575497943555,0.165955297526794,0.00014329638538057,1.54848864338808e-05,1,,,,,,81
PWY-5690,TCA cycle II (plants and fungi),29,0.0002999700029997,0.0002999700029997,0.000103121709620901,,0.0268754390820905,0.000338945843788007,0.0612596464561311,0.000236278182462395,2.42421125012937e-05,1,,,,,,81
