pathway_id,pathway_name,n_genes,omni_p_final,omni_p_mvn,omni_p_analytic,omni_p_mvn_compcal,acat_p,fisher_p,minp_p_analytic,stouffer_p_analytic,tfisher_p_analytic,tfisher_p_min,tau_hat,acat_p_mvn_cal,fisher_p_mvn_cal,tfisher_p_mvn_cal,minp_p_mvn_cal,stouffer_p_mvn_cal,perm
PWY-7343,UDP-&alpha;-D-glucose biosynthesis I,8,0.000107911845052754,0.000107911845052754,3.56215171914975e-07,,0.000356786432802933,0.000148798256979446,0.000355992542983497,0.00752196383721577,7.13063589286023e-08,0.000105829391311985,0.5,,,,,,5
PWY-4302,aerobic respiration III (alternative oxidase pathway),62,0.000119470874855842,0.000119470874855842,7.65680275294223e-08,,0.00421106206672587,1.74272386779841e-06,0.00453204752867707,8.65943228891911e-06,1.54770839477791e-08,1.7427238677703e-06,1,,,,,,5
PWY-6352,3-phosphoinositide biosynthesis,42,0.000141741348090135,0.000141741348090135,5.57544764467899e-06,,4.3673946818028e-05,7.15979114978702e-05,4.3691668217983e-05,0.0015274655280452,1.19562476086355e-06,3.94088757909028e-05,0.5,,,,,,5
NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch),14,0.000477159918018878,0.000477159918018878,3.33898388438225e-07,,2.70587528059578e-05,0.000962678753949747,2.70588600524868e-05,0.058032085708539,6.71156855647226e-08,4.18171766932707e-05,0.01,,,,,,5
PWY-5912,2'-deoxymugineic acid phytosiderophore biosynthesis,29,0.000492252416520706,0.000492252416520706,4.9960036108132e-15,,6.07572162770305e-05,8.98877997328765e-09,6.16927625478926e-05,2.90296411576679e-05,1e-15,2.41608366646773e-09,0.05,,,,,,5
PWY-5129,sphingolipid biosynthesis (plants),32,0.00053759892599592,0.00053759892599592,1.18183277608708e-08,,4.81920082206699e-07,0.0245412477230915,4.81919887505431e-07,0.208975266580145,2.38708153244005e-09,1.98670040518767e-06,0.01,,,,,,5
PWY-101,photosynthesis light reactions,32,0.000637528276209642,0.000637528276209642,2.19156699554635e-06,,0.0428474612215215,3.68464300511706e-05,0.145850030196273,0.000270682241317387,4.44324186554823e-07,3.12295656827999e-05,0.5,,,,,,5
CALVIN-PWY,Calvin-Benson-Bassham cycle,38,0.00091212677652484,0.00091212677652484,4.82799525802768e-06,,7.34702056069491e-05,5.8144717843503e-05,7.34437738526746e-05,0.00257244624756748,1.00927266788453e-06,4.00998951638476e-05,0.5,,,,,,5
PWY-5659,GDP-mannose biosynthesis,12,0.00216766001240442,0.00216766001240442,8.94910307149832e-05,,0.000533402565999223,0.0274295325800577,0.000533941287646172,0.209202799046134,1.91999520338104e-05,0.000668427977850383,0.01,,,,,,5
PWY-5083,NAD/NADH phosphorylation and dephosphorylation,52,0.00244938096640802,0.00244938096640802,1.09229066646011e-05,,0.00360698567837741,6.74977280579697e-05,0.00380246380914279,0.000781675338754298,2.26696302085827e-06,4.61687448209958e-05,0.5,,,,,,5
PWY-5723,Rubisco shunt,38,0.00265161345990642,0.00265161345990642,5.60245019322059e-05,,7.34343006959598e-05,0.0011969552126233,7.34437738526746e-05,0.0200823761396246,1.63591113404582e-05,0.000212065023408203,0.01,,,,,,5
PWY-622,starch biosynthesis,22,0.00353724672483316,0.00353724672483316,0.000712160733745915,,0.000976786656720047,0.0298489794145514,0.00097867457462042,0.106662991553802,0.0002027204381847,0.00146533795725734,0.01,,,,,,5
GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation,13,0.00464829210941602,0.00464829210941602,6.0732153799925e-05,,0.000576390612561107,0.00051372263191785,0.000578423524055224,0.00160697194261355,1.31068322212213e-05,0.000513722631917846,1,,,,,,5
PWY-882,L-ascorbate biosynthesis I (L-galactose pathway),24,0.00599700149925037,0.00599700149925037,0.000558955426798569,,0.00106270787317964,0.00150581512573578,0.00106759748199369,0.00690041120833267,0.00015978021745533,0.00120184890280339,0.5,,,,,,5
PWY-321,cutin biosynthesis,56,0.00649675162418791,0.00649675162418791,0.000477091871629976,,0.018320498864637,0.00143485543055076,0.0281391397990129,0.0166022158960374,0.000103808980600473,0.000533320556062034,0.5,,,,,,5
PWY-6360,flavonol glucosylation I,23,0.00849575212393803,0.00849575212393803,0.00012077012863615,,0.00937104221699304,0.0275612715934018,0.015356108827031,0.238707166937652,2.42779446252284e-05,0.000414680495434805,0.05,,,,,,5
PWY-2902,cytokinin-<i>O</i>-glucosides biosynthesis,31,0.00899550224887556,0.00899550224887556,1.99523634680787e-06,,0.0142047964866603,3.0962317725495e-05,0.0193362178655397,0.000167743492033687,4.05254042101788e-07,3.09623177254803e-05,1,,,,,,5
PWY-4081,glutathione-peroxide redox reactions,10,0.00949525237381309,0.00949525237381309,0.000366373246459217,,0.00600806836547147,0.00227995824095376,0.00639830277507278,0.0134845690524887,7.80525942998267e-05,0.00154530589702062,0.5,,,,,,5
NONMEVIPP-PWY,methylerythritol phosphate pathway I,13,0.015992003998001,0.015992003998001,0.00326283151562662,,0.00516572190290393,0.0329218842919884,0.00506837513959579,0.424014042580857,0.000900513482376408,0.00456035323718451,0.05,,,,,,5
PWY0-1021,L-alanine biosynthesis III,8,0.0164917541229385,0.0164917541229385,0.00316615475427889,,0.00573706740636689,0.0113334735363416,0.00580751057611276,0.0122348119365992,0.000940906284074283,0.00614919893319033,0.01,,,,,,5
PWY-6275,&beta;-caryophyllene biosynthesis,16,0.0174912543728136,0.0174912543728136,0.00304466436223799,,0.00994636931794546,0.00602716642437151,0.0110375232260947,0.0185571052292178,0.000812098799796601,0.00392196111844845,0.05,,,,,,5
PWY-7187,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II,17,0.0174912543728136,0.0174912543728136,0.00524997793309084,,0.00532821904590678,0.026424228184658,0.0052361439039313,0.0758540680816095,0.00191208376507335,0.00629026980382275,0.01,,,,,,5
PWY-6363,"D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation",7,0.0189905047476262,0.0189905047476262,0.00121640047305516,,0.0134630500011975,0.0214172492668477,0.0212965227198366,0.104126383818789,0.00025422841309608,0.00351928310597449,0.05,,,,,,5
PWY-5864,superpathway of plastoquinol biosynthesis,5,0.0204897551224388,0.0204897551224388,0.00561108037706315,,0.054594765796184,0.00996878058496451,0.0875010841813558,0.00764556870689566,0.00158558750512994,0.00996878058496453,1,,,,,,5
