method,alpha,n,observed,ci_lo,ci_hi,calibrated
omni_p_final,0.05,2045,0.145721271393643,0.130700930401864,0.161764802819373,FALSE
omni_p_final,0.01,2045,0.0420537897310514,0.0337727635326072,0.0516776594417673,FALSE
omni_p_mvn,0.05,2045,0.145721271393643,0.130700930401864,0.161764802819373,FALSE
omni_p_mvn,0.01,2045,0.0420537897310514,0.0337727635326072,0.0516776594417673,FALSE
omni_p_analytic,0.05,2045,0.184841075794621,0.168233908641487,0.202356761242111,FALSE
omni_p_analytic,0.01,2045,0.112469437652812,0.0990944296335882,0.126966329753856,FALSE
acat_p,0.05,2045,0.113936430317848,0.100481739102491,0.128508616069817,FALSE
acat_p,0.01,2045,0.0322738386308068,0.0250466712179548,0.0408789609671663,FALSE
fisher_p,0.05,2045,0.18679706601467,0.170118666627016,0.204378277047758,FALSE
fisher_p,0.01,2045,0.0841075794621027,0.0724365396782793,0.0969863747703366,FALSE
minp_p_analytic,0.05,2045,0.0919315403422983,0.0797562447487565,0.105290674629206,FALSE
minp_p_analytic,0.01,2045,0.0273838630806846,0.020750293771801,0.0354142790595966,FALSE
stouffer_p_analytic,0.05,2045,0.179951100244499,0.163525132968669,0.197299861881188,FALSE
stouffer_p_analytic,0.01,2045,0.087041564792176,0.075177990793873,0.10010390032477,FALSE
tfisher_p_analytic,0.05,2045,0.184841075794621,0.168233908641487,0.202356761242111,FALSE
tfisher_p_analytic,0.01,2045,0.136430317848411,0.121838322780269,0.152072933630722,FALSE
