method,alpha,n,observed,ci_lo,ci_hi,calibrated
omni_p_final,0.05,29857,0.516093378437217,0.510406773864554,0.521776850795412,FALSE
omni_p_final,0.01,29857,0.375657299795693,0.370159582567343,0.381179220541578,FALSE
omni_p_mvn,0.05,29857,0.516093378437217,0.510406773864554,0.521776850795412,FALSE
omni_p_mvn,0.01,29857,0.375657299795693,0.370159582567343,0.381179220541578,FALSE
omni_p_analytic,0.05,29857,0.546873430016412,0.541205866400008,0.552531870634372,FALSE
omni_p_analytic,0.01,29857,0.416853669156312,0.411252744371423,0.422470777362478,FALSE
acat_p,0.05,29857,0.378604682319054,0.373098203459095,0.384134790837345,FALSE
acat_p,0.01,29857,0.15118732625515,0.147141267677801,0.155301377709516,FALSE
fisher_p,0.05,29857,0.56589744448538,0.560252522737704,0.571529540363055,FALSE
fisher_p,0.01,29857,0.398399035402083,0.39283926116163,0.403978585586627,FALSE
minp_p_analytic,0.05,29857,0.292829152292595,0.287671042949733,0.298027598194741,FALSE
minp_p_analytic,0.01,29857,0.128512576615199,0.1247360850984,0.132361508535906,FALSE
stouffer_p_analytic,0.05,29857,0.612586663094082,0.607033367063705,0.618118044457512,FALSE
stouffer_p_analytic,0.01,29857,0.442174364470643,0.436530068069238,0.447829915605687,FALSE
tfisher_p_analytic,0.05,29857,0.394011454600261,0.388462668040156,0.399580871273725,FALSE
tfisher_p_analytic,0.01,29857,0.356733764276384,0.351297512814021,0.362197903983614,FALSE
