pcol,null_set,alpha,n,observed,ci_lo,ci_hi,calibrated
omni_p_final,naive_all_other,0.05,29784,0.517761214074671,0.512068101857391,0.523450860980511,FALSE
omni_p_final,naive_all_other,0.01,29784,0.38527397260274,0.37974168986311,0.390828641362089,FALSE
omni_p_final,nonoverlap_spiked_pathway,0.05,29419,0.513137768109045,0.50740815882511,0.518864782281278,FALSE
omni_p_final,nonoverlap_spiked_pathway,0.01,29419,0.379992521839627,0.374441088194572,0.385567663403758,FALSE
omni_p_final,nonoverlap_causal_genes,0.05,29419,0.513137768109045,0.50740815882511,0.518864782281278,FALSE
omni_p_final,nonoverlap_causal_genes,0.01,29419,0.379992521839627,0.374441088194572,0.385567663403758,FALSE
omni_p_analytic,naive_all_other,0.05,29784,0.554156594144507,0.548489752163485,0.559812869655845,FALSE
omni_p_analytic,naive_all_other,0.01,29784,0.435200107440236,0.429559351487798,0.440853506599143,FALSE
omni_p_analytic,nonoverlap_spiked_pathway,0.05,29419,0.549678779020361,0.543971857448151,0.555375887333728,FALSE
omni_p_analytic,nonoverlap_spiked_pathway,0.01,29419,0.430130187973758,0.424462859421348,0.435811318471974,FALSE
omni_p_analytic,nonoverlap_causal_genes,0.05,29419,0.549678779020361,0.543971857448151,0.555375887333728,FALSE
omni_p_analytic,nonoverlap_causal_genes,0.01,29419,0.430130187973758,0.424462859421348,0.435811318471974,FALSE
