pathway_id,pathway_name,n_genes,omni_p_final,omni_p_mvn,omni_p_analytic,omni_p_mvn_compcal,acat_p,fisher_p,minp_p_analytic,stouffer_p_analytic,tfisher_p_analytic,tau_hat,acat_p_mvn_cal,fisher_p_mvn_cal,tfisher_p_mvn_cal,minp_p_mvn_cal,stouffer_p_mvn_cal,perm
CALVIN-PWY,Calvin-Benson-Bassham cycle,38,9.99900009999e-05,9.99900009999e-05,3.99404566087114e-08,,0.0315230908259614,2.72762361395519e-06,0.0996328023788088,2.0534661805645e-06,8.04293587286509e-09,1,,,,,,40
GLUT-REDOX-PWY,glutathione-glutaredoxin redox reactions,5,9.99900009999e-05,9.99900009999e-05,1.94322421510629e-05,,0.0187431168902484,0.000864148472440001,0.0235161233582533,0.000251505953145414,3.96706801164548e-06,1,,,,,,40
GLUTAMINDEG-PWY,L-glutamine degradation I,34,9.99900009999e-05,9.99900009999e-05,9.00270691328586e-10,,0.0569673782757573,4.86316237115302e-07,0.263817451143934,1.22689493462295e-08,1.82804549275772e-10,1,,,,,,40
GLUTATHIONESYN-PWY,glutathione biosynthesis,4,9.99900009999e-05,9.99900009999e-05,4.41427660330396e-06,,0.0186701361139924,0.000676803031808135,0.0387401335095736,0.000210832001223234,8.8779308260456e-07,1,,,,,,40
LIPAS-PWY,triacylglycerol degradation,117,9.99900009999e-05,9.99900009999e-05,4.19103640680873e-12,,0.00800112716719142,5.48088625546485e-12,0.0201596437466065,3.40831803052357e-12,1.39432909662673e-12,1,,,,,,40
LIPASYN-PWY,phospholipases,106,9.99900009999e-05,9.99900009999e-05,1.25668402906065e-07,,0.0163126318688848,1.43459029994375e-06,0.0182817298559987,7.57252410818814e-08,3.86332583701687e-08,1,,,,,,40
NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch),14,9.99900009999e-05,9.99900009999e-05,4.73665738687235e-07,,0.0232993890730345,4.87437742463309e-05,0.037928732023173,1.52587865284594e-05,9.55123825585602e-08,1,,,,,,40
PANTO-PWY,phosphopantothenate biosynthesis I,6,9.99900009999e-05,9.99900009999e-05,8.49265102687014e-13,,0.00958780263138811,3.59325441344674e-06,0.0190742146930039,6.12554504918617e-07,1.69864122767649e-13,1,,,,,,40
PWY-1042,glycolysis IV (plant cytosol),60,9.99900009999e-05,9.99900009999e-05,4.13812598798469e-07,,0.0509098070957412,5.16858907290639e-06,0.151150677047063,3.17812031208954e-06,8.63959943586679e-08,1,,,,,,40
PWY-1121,suberin monomers biosynthesis,67,9.99900009999e-05,9.99900009999e-05,6.77236045021346e-15,,0.0059078507414043,9.35664131599292e-11,0.0110380975039321,2.34762950629734e-10,1.33226762955019e-15,1,,,,,,40
PWY-321,cutin biosynthesis,56,9.99900009999e-05,9.99900009999e-05,1.38777878078145e-14,,0.00171314163351877,4.91058586488608e-11,0.00339085303561726,1.25273996854048e-10,2.77555756156289e-15,1,,,,,,40
