pathway_rank,pathway_id,pathway_name,n_genes,omni_p_final,FDR_BH,dominant_component,agreement_score,genes_used
1,TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis,53,1.6502434308877e-8,6.74949563233067e-6,stouffer_p_analytic,1,SORBI_3002G218500;SORBI_3004G341900;SORBI_3003G317500;SORBI_3009G188900;SORBI_3009G015800;SORBI_3005G197100;SORBI_3008G112100;SORBI_3001G206000;SORBI_3006G221500;SORBI_3002G267500;SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G360700;SORBI_3003G114200;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600;SORBI_3005G214400;SORBI_3008G130800;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G026100;SORBI_3001G493300;SORBI_3006G041266;SORBI_3002G325300;SORBI_3010G134400;SORBI_3010G170000;SORBI_3003G309600;SORBI_3003G258000;SORBI_3009G072700;SORBI_3009G226600;SORBI_3009G040250;SORBI_3009G034600;SORBI_3008G049000;SORBI_3004G261900;SORBI_3006G034200;SORBI_3002G020000;SORBI_3002G260000;SORBI_3010G193300;SORBI_3010G190300;SORBI_3003G265100;SORBI_3003G249000;SORBI_3003G078700;SORBI_3009G165400;SORBI_3009G221500;SORBI_3005G187300;SORBI_3004G293100;SORBI_3004G268300;SORBI_3007G108500;SORBI_3001G049300;SORBI_3001G408400;SORBI_3002G165140
2,THIOREDOX-PWY,thioredoxin pathway,20,2.28825574566907e-7,4.21302727830808e-5,tfisher_p_analytic,1,SORBI_3010G135000;SORBI_3010G216200;SORBI_3003G418500;SORBI_3003G163700;SORBI_3003G163500;SORBI_3009G073000;SORBI_3005G154000;SORBI_3008G117800;SORBI_3004G300900;SORBI_3004G156900;SORBI_3004G262300;SORBI_3004G216600;SORBI_3007G162300;SORBI_3001G197600;SORBI_3001G010900;SORBI_3006G054600;SORBI_3006G141700;SORBI_3002G039100;SORBI_3002G401800;SORBI_3002G035000
3,PWY-6549,L-glutamine biosynthesis III,26,4.41687148135105e-7,4.21302727830808e-5,tfisher_p_analytic,1,SORBI_3006G141600;SORBI_3009G238900;SORBI_3003G241500;SORBI_3007G068100;SORBI_3001G512800;SORBI_3006G000100;SORBI_3002G316900;SORBI_3004G247000;SORBI_3001G231000;SORBI_3001G116400;SORBI_3001G451500;SORBI_3006G249400;SORBI_3002G402700;SORBI_3003G129900;SORBI_3004G202100;SORBI_3006G120900;SORBI_3004G101900;SORBI_3004G078000;SORBI_3010G160700;SORBI_3003G100600;SORBI_3003G301800;SORBI_3004G106900;SORBI_3007G106500;SORBI_3002G167000;SORBI_3009G132900;SORBI_3001G326900
4,PWY-321,cutin biosynthesis,56,5.03008899829411e-7,4.21302727830808e-5,fisher_p,1,SORBI_3006G272600;SORBI_3006G247200;SORBI_3006G247300;SORBI_3006G079500;SORBI_3008G051300;SORBI_3008G010800;SORBI_3005G054900;SORBI_3005G020300;SORBI_3005G033100;SORBI_3005G156100;SORBI_3009G031400;SORBI_3003G242000;SORBI_3003G303900;SORBI_3003G004900;SORBI_3003G258200;SORBI_3010G045500;SORBI_3010G045400;SORBI_3010G214900;SORBI_3001G491400;SORBI_3006G177000;SORBI_3001G509901;SORBI_3004G288500;SORBI_3008G036000;SORBI_3005G037000;SORBI_3009G155500;SORBI_3003G360600;SORBI_3003G362700;SORBI_3003G380600;SORBI_3002G128900;SORBI_3002G265300;SORBI_3006G175900;SORBI_3006G175800;SORBI_3006G085601;SORBI_3007G195300;SORBI_3005G232000;SORBI_3009G114800;SORBI_3003G008200;SORBI_3003G008300;SORBI_3003G378301;SORBI_3004G282800;SORBI_3007G122400;SORBI_3001G530300;SORBI_3001G320300;SORBI_3006G185600;SORBI_3002G181800;SORBI_3003G058600;SORBI_3005G151900;SORBI_3005G219500;SORBI_3008G014200;SORBI_3004G006400;SORBI_3007G015200;SORBI_3007G041200;SORBI_3007G015100;SORBI_3001G137900;SORBI_3001G195300;SORBI_3006G261000
5,PWY-6352,3-phosphoinositide biosynthesis,42,5.15040009573115e-7,4.21302727830808e-5,tfisher_p_analytic,1,SORBI_3010G072400;SORBI_3004G321100;SORBI_3007G008900;SORBI_3001G162700;SORBI_3001G481900;SORBI_3010G107000;SORBI_3010G279300;SORBI_3003G373500;SORBI_3007G133000;SORBI_3007G146400;SORBI_3007G004500;SORBI_3001G345100;SORBI_3006G280400;SORBI_3002G196600;SORBI_3009G179600;SORBI_3005G137500;SORBI_3008G018500;SORBI_3007G088100;SORBI_3010G279800;SORBI_3005G031700;SORBI_3008G011901;SORBI_3007G154701;SORBI_3001G121900;SORBI_3001G429500;SORBI_3001G203400;SORBI_3001G294100;SORBI_3001G367301;SORBI_3001G124100;SORBI_3002G403100;SORBI_3002G223600;SORBI_3002G292800;SORBI_3010G223300;SORBI_3006G060000;SORBI_3010G145900;SORBI_3010G118200;SORBI_3003G127200;SORBI_3009G253700;SORBI_3005G104500;SORBI_3004G130300;SORBI_3001G118000;SORBI_3006G258500;SORBI_3002G235900
6,PWY-7193,pyrimidine ribonucleosides salvage I,10,6.23235681861794e-7,4.24838989802456e-5,tfisher_p_analytic,1,SORBI_3003G129300;SORBI_3008G156700;SORBI_3008G190400;SORBI_3004G265800;SORBI_3004G000100;SORBI_3007G194700;SORBI_3006G037700;SORBI_3002G257200;SORBI_3003G275300;SORBI_3008G098400
7,VALSYN-PWY,L-valine biosynthesis,6,8.87545319227417e-7,5.18580050805734e-5,tfisher_p_analytic,1,SORBI_3005G082200;SORBI_3004G210000;SORBI_3004G155800;SORBI_3003G239900;SORBI_3009G239900;SORBI_3007G167800
8,GLUCONEO-PWY,gluconeogenesis I,56,1.25324567261857e-6,6.40721850126244e-5,tfisher_p_analytic,1,SORBI_3001G071800;SORBI_3002G230600;SORBI_3003G238500;SORBI_3009G240700;SORBI_3008G186200;SORBI_3007G137600;SORBI_3001G073900;SORBI_3001G219300;SORBI_3006G170800;SORBI_3002G385700;SORBI_3002G309400;SORBI_3003G072300;SORBI_3003G352300;SORBI_3002G277100;SORBI_3007G166300;SORBI_3007G166200;SORBI_3005G154850;SORBI_3009G069600;SORBI_3009G108700;SORBI_3003G280900;SORBI_3003G292400;SORBI_3003G036200;SORBI_3003G036000;SORBI_3004G338000;SORBI_3001G432800;SORBI_3006G198400;SORBI_3010G027000;SORBI_3010G026925;SORBI_3001G426100;SORBI_3002G186900;SORBI_3003G336000;SORBI_3008G116600;SORBI_3001G384100;SORBI_3010G221800;SORBI_3009G183700;SORBI_3004G055200;SORBI_3001G236800;SORBI_3010G262466;SORBI_3010G262500;SORBI_3010G262433;SORBI_3010G100200;SORBI_3009G016700;SORBI_3005G159000;SORBI_3004G056400;SORBI_3004G205100;SORBI_3007G025400;SORBI_3010G188300;SORBI_3003G096000;SORBI_3003G393900;SORBI_3005G056400;SORBI_3008G053200;SORBI_3004G146000;SORBI_3010G219700;SORBI_3003G367500;SORBI_3009G152700;SORBI_3001G425400
9,LIPASYN-PWY,phospholipases,106,1.7987952272041e-6,7.53110158469927e-5,stouffer_p_analytic,1,SORBI_3009G027800;SORBI_3005G018900;SORBI_3005G002000;SORBI_3008G090600;SORBI_3008G002000;SORBI_3001G408001;SORBI_3002G430500;SORBI_3003G107900;SORBI_3003G430100;SORBI_3005G170100;SORBI_3001G008600;SORBI_3001G029200;SORBI_3010G159700;SORBI_3010G159900;SORBI_3010G160000;SORBI_3010G047800;SORBI_3003G370500;SORBI_3003G390900;SORBI_3010G160033;SORBI_3003G370600;SORBI_3003G432600;SORBI_3003G239200;SORBI_3003G038000;SORBI_3003G239500;SORBI_3003G274700;SORBI_3003G239100;SORBI_3003G418700;SORBI_3003G391000;SORBI_3009G135100;SORBI_3009G240600;SORBI_3009G125300;SORBI_3009G240500;SORBI_3009G117500;SORBI_3009G014600;SORBI_3009G149700;SORBI_3005G203800;SORBI_3005G111400;SORBI_3005G032700;SORBI_3008G170100;SORBI_3004G297600;SORBI_3004G300100;SORBI_3007G187000;SORBI_3007G011300;SORBI_3007G036900;SORBI_3001G373200;SORBI_3001G365100;SORBI_3001G295700;SORBI_3006G214500;SORBI_3002G320900;SORBI_3002G409500;SORBI_3002G262300;SORBI_3002G177200;SORBI_3002G213300;SORBI_3010G228100;SORBI_3003G029000;SORBI_3003G029200;SORBI_3003G389400;SORBI_3003G074600;SORBI_3003G074500;SORBI_3005G186400;SORBI_3005G186100;SORBI_3005G159400;SORBI_3005G186200;SORBI_3005G219100;SORBI_3005G219000;SORBI_3005G145100;SORBI_3008G135401;SORBI_3008G166050;SORBI_3004G357800;SORBI_3007G158700;SORBI_3007G158500;SORBI_3007G158600;SORBI_3007G158800;SORBI_3001G157700;SORBI_3001G433900;SORBI_3001G103800;SORBI_3001G279800;SORBI_3001G288200;SORBI_3001G448800;SORBI_3001G348600;SORBI_3001G067500;SORBI_3001G429900;SORBI_3001G120400;SORBI_3001G158200;SORBI_3001G157900;SORBI_3006G276100;SORBI_3002G401900;SORBI_3002G228700;SORBI_3002G031800;SORBI_3002G377600;SORBI_3010G209900;SORBI_3010G185600;SORBI_3003G147000;SORBI_3003G050400;SORBI_3009G109925;SORBI_3009G062600;SORBI_3009G110000;SORBI_3005G222500;SORBI_3008G183400;SORBI_3004G016900;SORBI_3001G529800;SORBI_3001G349800;SORBI_3001G320200;SORBI_3002G098900;SORBI_3002G282500;SORBI_3002G204500
10,PWY-5083,NAD/NADH phosphorylation and dephosphorylation,52,1.84134513073332e-6,7.53110158469927e-5,fisher_p,1,SORBI_3010G201266;SORBI_3010G098800;SORBI_3003G170300;SORBI_3003G172966;SORBI_3003G296800;SORBI_3003G429200;SORBI_3003G173032;SORBI_3003G168300;SORBI_3003G416200;SORBI_3003G322300;SORBI_3003G429300;SORBI_3003G135600;SORBI_3003G286200;SORBI_3003G429000;SORBI_3003G279200;SORBI_3003G173200;SORBI_3009G176000;SORBI_3009G209400;SORBI_3009G095720;SORBI_3009G191400;SORBI_3005G031000;SORBI_3004G166400;SORBI_3004G344800;SORBI_3004G249200;SORBI_3004G155100;SORBI_3007G211500;SORBI_3007G172300;SORBI_3007G134900;SORBI_3007G168400;SORBI_3007G133500;SORBI_3001G286200;SORBI_3001G164350;SORBI_3001G282500;SORBI_3001G473400;SORBI_3001G519000;SORBI_3001G073600;SORBI_3001G134200;SORBI_3001G115700;SORBI_3001G230050;SORBI_3001G251750;SORBI_3001G392800;SORBI_3002G149550;SORBI_3002G254500;SORBI_3002G396700;SORBI_3002G246200;SORBI_3002G308300;SORBI_3002G356400;SORBI_3002G395000;SORBI_3003G432100;SORBI_3009G123700;SORBI_3005G068700;SORBI_3002G176800
