gene_set,ontology,n_input_genes,n_mapped_genes,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Fst_IC_stover,MF,652,455,GO:0016846,carbon-sulfur lyase activity,5/455,16/27694,4.405238762685696e-6,0.0029471047322367303,0.0028008044343812216,Zm00001eb099170/Zm00001eb099180/Zm00001eb099190/Zm00001eb099200/Zm00001eb099210,5
Fst_IC_stover,BP,652,455,GO:0016114,terpenoid biosynthetic process,6/455,52/27694,2.0439355441696636e-4,0.05069326729937803,0.048176749978482154,Zm00001eb415070/Zm00001eb415080/Zm00001eb415090/Zm00001eb415100/Zm00001eb415130/Zm00001eb415420,6
Fst_IC_stover,MF,652,455,GO:0010333,terpene synthase activity,6/455,53/27694,2.2732406860707637e-4,0.05069326729937803,0.048176749978482154,Zm00001eb415070/Zm00001eb415080/Zm00001eb415090/Zm00001eb415100/Zm00001eb415130/Zm00001eb415420,6
Fst_IC_stover,BP,652,455,GO:0046246,terpene biosynthetic process,4/455,25/27694,6.917795328225713e-4,0.08556854355986117,0.08132074629872732,Zm00001eb415070/Zm00001eb415080/Zm00001eb415090/Zm00001eb415130,4
Fst_IC_stover,BP,652,455,GO:0042546,cell wall biogenesis,6/455,66/27694,7.520746189530871e-4,0.08556854355986117,0.08132074629872732,Zm00001eb071660/Zm00001eb373230/Zm00001eb373250/Zm00001eb373260/Zm00001eb414340/Zm00001eb414450,6
Fst_IC_stover,BP,652,455,GO:0046474,glycerophospholipid biosynthetic process,2/455,3/27694,7.99227686267349e-4,0.08556854355986117,0.08132074629872732,Zm00001eb397220/Zm00001eb397260,2
Fst_IC_stover,MF,652,455,GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",4/455,27/27694,9.351787285641176e-4,0.08556854355986117,0.08132074629872732,Zm00001eb020560/Zm00001eb020570/Zm00001eb020590/Zm00001eb111400,4
Fst_IC_stover,MF,652,455,GO:0050660,flavin adenine dinucleotide binding,10/455,185/27694,0.0010232411785932576,0.08556854355986117,0.08132074629872732,Zm00001eb074100/Zm00001eb074140/Zm00001eb111400/Zm00001eb173900/Zm00001eb179100/Zm00001eb332380/Zm00001eb384900/Zm00001eb384930/Zm00001eb384940/Zm00001eb396380,10
Fst_IC_stover,MF,652,455,GO:0008266,poly(U) RNA binding,3/455,16/27694,0.0021039613673662543,0.15639446164089155,0.14863072115663364,Zm00001eb173880/Zm00001eb176260/Zm00001eb386170,3
Fst_IC_stover,MF,652,455,GO:0003841,1-acylglycerol-3-phosphate O-acyltransferase activity,2/455,5/27694,0.0026064182688787705,0.15851762017089976,0.15064848176103135,Zm00001eb102970/Zm00001eb151440,2
Fst_IC_stover,MF,652,455,GO:0004449,isocitrate dehydrogenase (NAD+) activity,2/455,5/27694,0.0026064182688787705,0.15851762017089976,0.15064848176103135,Zm00001eb183760/Zm00001eb424940,2
Fst_IC_stover,MF,652,455,GO:0008061,chitin binding,3/455,18/27694,0.002991981110512527,0.1668029469110734,0.15852250796048828,Zm00001eb002690/Zm00001eb369810/Zm00001eb425600,3
