ontology,GO_ID,GO_term_name,term_size
BP,GO:0006355,regulation of DNA-templated transcription,2268
BP,GO:0006468,protein phosphorylation,1495
BP,GO:0055085,transmembrane transport,1017
BP,GO:0006412,translation,774
BP,GO:0006508,proteolysis,694
BP,GO:0015031,protein transport,620
BP,GO:0006357,regulation of transcription by RNA polymerase II,605
BP,GO:0006629,lipid metabolic process,590
BP,GO:0005975,carbohydrate metabolic process,517
BP,GO:0007165,signal transduction,487
BP,GO:0016567,protein ubiquitination,472
BP,GO:0006811,monoatomic ion transport,461
BP,GO:0006952,defense response,461
BP,GO:0032259,methylation,434
BP,GO:0071555,cell wall organization,386
BP,GO:0006397,mRNA processing,376
BP,GO:0016192,vesicle-mediated transport,354
BP,GO:0006457,protein folding,322
BP,GO:0006511,ubiquitin-dependent protein catabolic process,298
BP,GO:0006281,DNA repair,289
BP,GO:0009451,RNA modification,273
BP,GO:0006886,intracellular protein transport,265
BP,GO:0045893,positive regulation of DNA-templated transcription,257
BP,GO:0015979,photosynthesis,249
BP,GO:0006950,response to stress,246
BP,GO:0008380,RNA splicing,240
BP,GO:1902600,proton transmembrane transport,233
BP,GO:0098869,cellular oxidant detoxification,231
BP,GO:0006974,DNA damage response,226
BP,GO:0051301,cell division,213
BP,GO:0006979,response to oxidative stress,196
BP,GO:0008652,amino acid biosynthetic process,189
BP,GO:0098542,defense response to other organism,189
BP,GO:0000398,"mRNA splicing, via spliceosome",185
BP,GO:0009733,response to auxin,179
BP,GO:0006325,chromatin organization,176
BP,GO:0006338,chromatin remodeling,173
BP,GO:0042744,hydrogen peroxide catabolic process,169
BP,GO:0006351,DNA-templated transcription,168
BP,GO:0009734,auxin-activated signaling pathway,168
BP,GO:0006364,rRNA processing,161
BP,GO:0035556,intracellular signal transduction,159
BP,GO:0006396,RNA processing,154
BP,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,149
BP,GO:0006413,translational initiation,148
BP,GO:0045944,positive regulation of transcription by RNA polymerase II,144
BP,GO:0006470,protein dephosphorylation,140
BP,GO:0006631,fatty acid metabolic process,139
BP,GO:0051707,response to other organism,138
BP,GO:0016042,lipid catabolic process,134
BP,GO:0006633,fatty acid biosynthetic process,133
BP,GO:0009058,biosynthetic process,133
BP,GO:0010468,regulation of gene expression,133
BP,GO:0030154,cell differentiation,132
BP,GO:0042254,ribosome biogenesis,127
BP,GO:0006260,DNA replication,126
BP,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,119
BP,GO:0009101,glycoprotein biosynthetic process,118
BP,GO:0042742,defense response to bacterium,116
BP,GO:0034220,monoatomic ion transmembrane transport,110
BP,GO:0045892,negative regulation of DNA-templated transcription,105
BP,GO:0006096,glycolytic process,103
BP,GO:0006813,potassium ion transport,103
BP,GO:0006865,amino acid transport,100
BP,GO:0008033,tRNA processing,99
BP,GO:0000272,polysaccharide catabolic process,97
BP,GO:0009834,plant-type secondary cell wall biogenesis,92
BP,GO:0009873,ethylene-activated signaling pathway,90
BP,GO:0003333,amino acid transmembrane transport,89
BP,GO:0009408,response to heat,87
BP,GO:0009738,abscisic acid-activated signaling pathway,87
BP,GO:0006812,monoatomic cation transport,86
BP,GO:0071805,potassium ion transmembrane transport,86
BP,GO:0007018,microtubule-based movement,85
BP,GO:0006887,exocytosis,84
BP,GO:0000226,microtubule cytoskeleton organization,83
BP,GO:0022904,respiratory electron transport chain,83
BP,GO:0009416,response to light stimulus,82
BP,GO:0009626,plant-type hypersensitive response,82
BP,GO:0009742,brassinosteroid mediated signaling pathway,81
BP,GO:0000160,phosphorelay signal transduction system,80
BP,GO:0006417,regulation of translation,79
BP,GO:0009409,response to cold,79
BP,GO:0009611,response to wounding,79
BP,GO:0031047,regulatory ncRNA-mediated gene silencing,79
BP,GO:0006414,translational elongation,78
BP,GO:0002181,cytoplasmic translation,77
BP,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,77
BP,GO:0006897,endocytosis,76
BP,GO:0006099,tricarboxylic acid cycle,75
BP,GO:0006869,lipid transport,74
BP,GO:0007017,microtubule-based process,74
BP,GO:0050832,defense response to fungus,74
BP,GO:0008654,phospholipid biosynthetic process,71
BP,GO:0009725,response to hormone,71
BP,GO:0042026,protein refolding,70
BP,GO:0099402,plant organ development,70
BP,GO:0007166,cell surface receptor signaling pathway,69
BP,GO:0009737,response to abscisic acid,69
BP,GO:0006139,nucleobase-containing compound metabolic process,68
BP,GO:0006520,amino acid metabolic process,68
BP,GO:0009651,response to salt stress,68
BP,GO:0031507,heterochromatin formation,68
BP,GO:0000278,mitotic cell cycle,67
BP,GO:0006310,DNA recombination,67
BP,GO:0007015,actin filament organization,67
BP,GO:0015986,proton motive force-driven ATP synthesis,67
BP,GO:0042546,cell wall biogenesis,66
BP,GO:0002758,innate immune response-activating signaling pathway,65
BP,GO:0036503,ERAD pathway,65
BP,GO:0070588,calcium ion transmembrane transport,65
BP,GO:0000724,double-strand break repair via homologous recombination,64
BP,GO:0007010,cytoskeleton organization,64
BP,GO:0009908,flower development,64
BP,GO:0006749,glutathione metabolic process,62
BP,GO:0009736,cytokinin-activated signaling pathway,62
BP,GO:0045490,pectin catabolic process,62
BP,GO:0048544,recognition of pollen,62
BP,GO:0006754,ATP biosynthetic process,61
BP,GO:0009414,response to water deprivation,60
BP,GO:0009073,aromatic amino acid family biosynthetic process,58
BP,GO:0009791,post-embryonic development,58
BP,GO:1902531,regulation of intracellular signal transduction,58
BP,GO:0000209,protein polyubiquitination,57
BP,GO:0006418,tRNA aminoacylation for protein translation,57
BP,GO:0008299,isoprenoid biosynthetic process,57
BP,GO:0009698,phenylpropanoid metabolic process,57
BP,GO:0000165,MAPK cascade,56
BP,GO:0034605,cellular response to heat,56
BP,GO:0006606,protein import into nucleus,55
BP,GO:0009658,chloroplast organization,55
BP,GO:0009909,regulation of flower development,55
BP,GO:0019953,sexual reproduction,55
BP,GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",54
BP,GO:0034219,carbohydrate transmembrane transport,54
BP,GO:0015914,phospholipid transport,53
BP,GO:0002229,defense response to oomycetes,52
BP,GO:0006004,fucose metabolic process,52
BP,GO:0016114,terpenoid biosynthetic process,52
BP,GO:0016579,protein deubiquitination,52
BP,GO:0019752,carboxylic acid metabolic process,52
BP,GO:0030244,cellulose biosynthetic process,51
BP,GO:0051726,regulation of cell cycle,51
BP,GO:0098655,monoatomic cation transmembrane transport,51
BP,GO:0000413,protein peptidyl-prolyl isomerization,50
BP,GO:0006334,nucleosome assembly,50
BP,GO:0006665,sphingolipid metabolic process,50
BP,GO:0000045,autophagosome assembly,49
BP,GO:0006816,calcium ion transport,49
BP,GO:0042274,ribosomal small subunit biogenesis,49
BP,GO:0042545,cell wall modification,49
BP,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",48
BP,GO:0006612,protein targeting to membrane,48
BP,GO:0016126,sterol biosynthetic process,48
BP,GO:0046856,phosphatidylinositol dephosphorylation,48
BP,GO:0051603,proteolysis involved in protein catabolic process,48
BP,GO:0006366,transcription by RNA polymerase II,47
BP,GO:0006367,transcription initiation at RNA polymerase II promoter,47
BP,GO:0009755,hormone-mediated signaling pathway,47
BP,GO:0042542,response to hydrogen peroxide,47
BP,GO:0048731,system development,47
BP,GO:0000082,G1/S transition of mitotic cell cycle,46
BP,GO:0006955,immune response,46
BP,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,46
BP,GO:0009699,phenylpropanoid biosynthetic process,46
BP,GO:0009827,plant-type cell wall modification,46
BP,GO:0006879,intracellular iron ion homeostasis,45
BP,GO:0030001,metal ion transport,45
BP,GO:0034599,cellular response to oxidative stress,45
BP,GO:0051028,mRNA transport,45
BP,GO:0080090,regulation of primary metabolic process,45
BP,GO:0006352,DNA-templated transcription initiation,44
BP,GO:0009664,plant-type cell wall organization,44
BP,GO:0048367,shoot system development,44
BP,GO:0006891,intra-Golgi vesicle-mediated transport,43
BP,GO:0042273,ribosomal large subunit biogenesis,43
BP,GO:0072583,clathrin-dependent endocytosis,43
BP,GO:0016226,iron-sulfur cluster assembly,42
BP,GO:0051321,meiotic cell cycle,41
BP,GO:0071897,DNA biosynthetic process,41
BP,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",40
BP,GO:0006006,glucose metabolic process,40
BP,GO:0006694,steroid biosynthetic process,40
BP,GO:0006914,autophagy,40
BP,GO:0008104,protein localization,40
BP,GO:0017148,negative regulation of translation,40
BP,GO:0031347,regulation of defense response,40
BP,GO:0005992,trehalose biosynthetic process,39
BP,GO:0009739,response to gibberellin,39
BP,GO:0009969,xyloglucan biosynthetic process,39
BP,GO:0044042,glucan metabolic process,38
BP,GO:0048364,root development,38
BP,GO:0051225,spindle assembly,38
BP,GO:0061025,membrane fusion,38
BP,GO:0006833,water transport,37
BP,GO:0007005,mitochondrion organization,37
BP,GO:0008202,steroid metabolic process,37
BP,GO:0008610,lipid biosynthetic process,37
BP,GO:0035672,oligopeptide transmembrane transport,37
BP,GO:0045492,xylan biosynthetic process,37
BP,GO:0005985,sucrose metabolic process,36
BP,GO:0006506,GPI anchor biosynthetic process,36
BP,GO:0008643,carbohydrate transport,36
BP,GO:0010150,leaf senescence,36
BP,GO:0022900,electron transport chain,36
BP,GO:0048608,reproductive structure development,36
BP,GO:0006913,nucleocytoplasmic transport,35
BP,GO:0009744,response to sucrose,35
BP,GO:0009833,plant-type primary cell wall biogenesis,35
BP,GO:0019252,starch biosynthetic process,35
BP,GO:0034976,response to endoplasmic reticulum stress,35
BP,GO:0007030,Golgi organization,34
BP,GO:0007131,reciprocal meiotic recombination,34
BP,GO:0045454,cell redox homeostasis,34
BP,GO:0002183,cytoplasmic translational initiation,33
BP,GO:0006261,DNA-templated DNA replication,33
BP,GO:0006906,vesicle fusion,33
BP,GO:0007059,chromosome segregation,33
BP,GO:0009867,jasmonic acid mediated signaling pathway,33
BP,GO:0010411,xyloglucan metabolic process,33
BP,GO:0010417,glucuronoxylan biosynthetic process,33
BP,GO:0032543,mitochondrial translation,33
BP,GO:0046034,ATP metabolic process,33
BP,GO:0046488,phosphatidylinositol metabolic process,33
BP,GO:1903830,magnesium ion transmembrane transport,33
BP,GO:0006270,DNA replication initiation,32
BP,GO:0006400,tRNA modification,32
BP,GO:0009617,response to bacterium,32
BP,GO:0015995,chlorophyll biosynthetic process,32
BP,GO:0019722,calcium-mediated signaling,32
BP,GO:0046835,carbohydrate phosphorylation,32
BP,GO:0046854,phosphatidylinositol phosphate biosynthetic process,32
BP,GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",31
BP,GO:0006164,purine nucleotide biosynthetic process,31
BP,GO:0006635,fatty acid beta-oxidation,31
BP,GO:0006900,vesicle budding from membrane,31
BP,GO:0007264,small GTPase-mediated signal transduction,31
BP,GO:0009765,"photosynthesis, light harvesting",31
BP,GO:0015693,magnesium ion transport,31
BP,GO:0015748,organophosphate ester transport,31
BP,GO:0030150,protein import into mitochondrial matrix,31
BP,GO:0031647,regulation of protein stability,31
BP,GO:0045037,protein import into chloroplast stroma,31
BP,GO:0046513,ceramide biosynthetic process,31
BP,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",30
BP,GO:0001522,pseudouridine synthesis,30
BP,GO:0006032,chitin catabolic process,30
BP,GO:0006221,pyrimidine nucleotide biosynthetic process,30
BP,GO:0006259,DNA metabolic process,30
BP,GO:0006289,nucleotide-excision repair,30
BP,GO:0006353,DNA-templated transcription termination,30
BP,GO:0006415,translational termination,30
BP,GO:0016102,diterpenoid biosynthetic process,30
BP,GO:0019684,"photosynthesis, light reaction",30
BP,GO:0042147,"retrograde transport, endosome to Golgi",30
BP,GO:0006094,gluconeogenesis,29
BP,GO:0006368,transcription elongation by RNA polymerase II,29
BP,GO:0006623,protein targeting to vacuole,29
BP,GO:0009751,response to salicylic acid,29
BP,GO:0016311,dephosphorylation,29
BP,GO:0030036,actin cytoskeleton organization,29
BP,GO:0040029,epigenetic regulation of gene expression,29
BP,GO:0050793,regulation of developmental process,29
BP,GO:0061615,glycolytic process through fructose-6-phosphate,29
BP,GO:0071421,manganese ion transmembrane transport,29
BP,GO:0001732,formation of cytoplasmic translation initiation complex,28
BP,GO:0006284,base-excision repair,28
BP,GO:0006465,signal peptide processing,28
BP,GO:0006814,sodium ion transport,28
BP,GO:0009635,response to herbicide,28
BP,GO:0030245,cellulose catabolic process,28
BP,GO:0032787,monocarboxylic acid metabolic process,28
BP,GO:0032968,positive regulation of transcription elongation by RNA polymerase II,28
BP,GO:0034755,iron ion transmembrane transport,28
BP,GO:1900150,regulation of defense response to fungus,28
BP,GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",27
BP,GO:0006893,Golgi to plasma membrane transport,27
BP,GO:0007275,multicellular organism development,27
