"pathway_id","pathway_name","n_genes","acat_p","fisher_p","tfisher_p_analytic","tau_hat","tfisher_stat_hat","minp_p_analytic","stouffer_p_analytic","magma_pvalue","omni_p_analytic","omni_p_analytic_BH","omni_p_global","omni_p_global_BH","omni_p_mvn","omni_p_mvn_BH","omni_p_final","omni_p_final_BH"
"HOMOSERSYN-PWY","L-homoserine biosynthesis",13,0.0300553247959889,0.361485950932541,0.0293356649495095,0.005,1.57818344929644,0.0291276682872127,0.105170275801601,0.17058,0.0443454628038443,0.999999999999866,NA,NA,0.0497900419916017,1,0.0497900419916017,1
"PWY-5097","L-lysine biosynthesis VI",25,0.0636497452817988,0.90402982506271,0.056030555584453,0.005,1.57818344929644,0.0552611433825781,0.315941520699863,0.16138,0.11142417590658,0.999999999999866,NA,NA,0.130373925214957,1,0.130373925214957,1
"PWY-5733","germacrene biosynthesis",2,0.214090809961315,0.202344206852831,1,0.1,0,0.279002423070325,0.045082998197226,0.99775,0.160217629556283,0.999999999999866,NA,NA,0.138972205558888,1,0.138972205558888,1
"PWY-8011","L-serine biosynthesis II",10,0.248250552278798,0.513913269267654,0.0817495170590696,0.01,0.328014409799666,0.0817042918141793,0.238124074490089,0.60178,0.151999266044596,0.999999999999866,NA,NA,0.15376924615077,1,0.15376924615077,1
"PWY-7206","pyrimidine deoxyribonucleotides dephosphorylation",4,0.292586520574411,0.249982827380958,0.176044003531657,0.05,0.113113009789537,0.176023858287914,0.121802743359777,0.087713,0.187414236112972,0.999999999999866,NA,NA,0.169766046790642,1,0.169766046790642,1
"PWY-4361","<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I",11,0.793579702774747,0.774324825038549,0.0740381326716564,0.01,0.728219384518743,0.0738290090315682,0.320893645181484,0.12668,0.206356667142827,0.999999999999866,NA,NA,0.200559888022396,1,0.200559888022396,1
"PWY-621","sucrose degradation III (sucrose invertase)",16,0.417580081896518,0.60127245903884,0.607617735318807,0.1,1.35198028425861,0.566243532665096,0.0405729363499998,0.42338,0.19371643758137,0.999999999999866,NA,NA,0.202159568086383,1,0.202159568086383,1
"PWY-6163","chorismate biosynthesis from 3-dehydroquinate",8,0.813282089696262,0.685447279525386,0.4978883189092,0.1,0.397861788269311,0.495466087718993,0.0374634464921449,0.52927,0.21318014188284,0.999999999999866,NA,NA,0.206758648270346,1,0.206758648270346,1
"PWY-5122","geranyl diphosphate biosynthesis",2,0.384928745676572,0.418205237456012,1,0.1,0,0.40753829840265,0.114211671360822,0.20513,0.366471080059471,0.999999999999866,NA,NA,0.2375524895021,1,0.2375524895021,1
"PWY-6468","&omega;- hydroxylation of laurate",2,0.289930779972068,0.310569941506659,1,0.1,0,0.324120047809143,0.311252747780962,0.33404,0.415044017717741,0.999999999999866,NA,NA,0.267346530693861,1,0.267346530693861,1
"PWY-6465","&omega;-hydroxylation of caprate and laurate",2,0.289930779972068,0.310569941506659,1,0.1,0,0.324120047809143,0.311252747780962,0.33404,0.415044017717741,0.999999999999866,NA,NA,0.274745050989802,1,0.274745050989802,1
"PWY-7187","pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II",11,0.806728627208587,0.565694652081603,0.412958548903306,0.05,0.113113009789537,0.412828116553994,0.0650052694263119,0.72802,0.295533023116681,0.999999999999866,NA,NA,0.291741651669666,1,0.291741651669666,1
"PWY-7196","superpathway of pyrimidine ribonucleosides salvage",8,0.434019280658669,0.681700348434352,0.454031433913097,0.1,0.668172426124687,0.44806996428223,0.134051339567927,0.59188,0.37285406385248,0.999999999999866,NA,NA,0.337132573485303,1,0.337132573485303,1
"PWYDQC-4","indole-3-acetate biosynthesis I",17,0.702693006025181,0.751459410100561,0.148421629749876,0.01,0.122709651888659,0.148401238141851,0.454399792076215,0.60113,0.359125980349258,0.999999999999866,NA,NA,0.337132573485303,1,0.337132573485303,1
"PWYQT-4449","polyisoprenoid biosynthesis",5,0.441209623395135,0.54423542804715,1,0.1,0,0.62389259244647,0.0983680146004982,0.42391,0.41353188301068,0.999999999999866,NA,NA,0.342131573685263,1,0.342131573685263,1
"PWY-7208","superpathway of pyrimidine nucleobases salvage",8,0.434019280658669,0.681700348434352,0.454031433913097,0.1,0.668172426124687,0.44806996428223,0.134051339567927,0.59188,0.37285406385248,0.999999999999866,NA,NA,0.345330933813237,1,0.345330933813237,1
"PWY-5142","acyl-[acyl-carrier protein] thioesterase pathway",6,0.477428454578729,0.528222504961499,1,0.1,0,0.68210603114745,0.0908087930331009,0.8378,0.414785176451571,0.999999999999866,NA,NA,0.361327734453109,1,0.361327734453109,1
"PWY4FS-10","scopolin biosynthesis",4,0.51257983124155,0.636903512398166,1,0.1,0,0.663450204308813,0.135228912247355,0.48828,0.514511210816331,0.999999999999866,NA,NA,0.387322535492901,1,0.387322535492901,1
"GLUTAMATE-DEG1-PWY","L-glutamate degradation I",2,0.408563436692069,0.461377395707194,1,0.1,0,0.538308392160147,0.40513706908236,0.13096,0.548810744151465,0.999999999999866,NA,NA,0.390121975604879,1,0.390121975604879,1
"PWY-6144","CMP-<i>N</i>-glycoloylneuraminate biosynthesis",2,0.522090887619992,0.593002838578637,1,0.1,0,0.607895540041973,0.374612810624113,0.23731,0.603386259090666,0.999999999999866,NA,NA,0.455108978204359,1,0.455108978204359,1
"PWY18C3-1","cholesterol biosynthesis (plants, early side-chain reductase)",2,0.509926008942066,0.589952947654086,1,0.1,0,0.631011574365762,0.397924513583268,0.83656,0.610124217598844,0.999999999999866,NA,NA,0.462707458508298,1,0.462707458508298,1
"PWY-861","dhurrin biosynthesis",8,0.447273984877428,0.560778663838712,1,0.1,0,0.668081231064806,0.250726046516066,0.94735,0.562241754530562,0.999999999999866,NA,NA,0.485702859428114,1,0.485702859428114,1
"PWY-6762","salicylate glucosides biosynthesis IV",5,0.525045696735114,0.706133324745649,1,0.1,0,0.743662783532711,0.231438005085973,0.51133,0.623776431440887,0.999999999999866,NA,NA,0.514897020595881,1,0.514897020595881,1
"PWY-7120","esterified suberin biosynthesis",4,0.795302247001955,0.729649944726812,1,0.1,0,0.756706558723014,0.132706288748886,0.45639,0.641185925496082,0.999999999999866,NA,NA,0.519696060787842,1,0.519696060787842,1
