"pathway_size","archetype","effect_scale","method","power","mean_rank","top_probability"
"5","Archetype I - SDA",0.5,"ACAT",0.224,3.368,0.14
"5","Archetype I - SDA",0.5,"Fisher",0.16,3.64,0.104
"5","Archetype I - SDA",0.5,"TFisher",0.204,3.436,0.144
"5","Archetype I - SDA",0.5,"minP",0.256,2.856,0.396
"5","Archetype I - SDA",0.5,"Stouffer",0.128,4.03,0.216
"5","Archetype I - SDA",0.5,"Omnibus",0.184,3.67,0
"5","Archetype I - SDA",0.8,"ACAT",0.476,2.894,0.268
"5","Archetype I - SDA",0.8,"Fisher",0.316,3.972,0.068
"5","Archetype I - SDA",0.8,"TFisher",0.496,3.454,0.076
"5","Archetype I - SDA",0.8,"minP",0.516,2.29,0.428
"5","Archetype I - SDA",0.8,"Stouffer",0.224,4.776,0.16
"5","Archetype I - SDA",0.8,"Omnibus",0.452,3.614,0
"5","Archetype I - SDA",1,"ACAT",0.7,2.382,0.436
"5","Archetype I - SDA",1,"Fisher",0.46,4.462,0.02
"5","Archetype I - SDA",1,"TFisher",0.7,3.356,0.044
"5","Archetype I - SDA",1,"minP",0.736,1.626,0.464
"5","Archetype I - SDA",1,"Stouffer",0.256,5.584,0.036
"5","Archetype I - SDA",1,"Omnibus",0.676,3.59,0
"5","Archetype I - SDA",1.2,"ACAT",0.872,2.012,0.652
"5","Archetype I - SDA",1.2,"Fisher",0.62,4.586,0.008
"5","Archetype I - SDA",1.2,"TFisher",0.88,3.708,0.028
"5","Archetype I - SDA",1.2,"minP",0.908,1.538,0.296
"5","Archetype I - SDA",1.2,"Stouffer",0.276,5.802,0.016
"5","Archetype I - SDA",1.2,"Omnibus",0.836,3.354,0
"5","Archetype I - SDA",1.5,"ACAT",0.964,1.918,0.896
"5","Archetype I - SDA",1.5,"Fisher",0.868,4.182,0
"5","Archetype I - SDA",1.5,"TFisher",0.964,4.34,0.012
"5","Archetype I - SDA",1.5,"minP",0.976,1.754,0.092
"5","Archetype I - SDA",1.5,"Stouffer",0.42,5.82,0
"5","Archetype I - SDA",1.5,"Omnibus",0.956,2.986,0
"5","Archetype I - SDA",1.8,"ACAT",0.996,2.13,0.992
"5","Archetype I - SDA",1.8,"Fisher",0.972,3.546,0
"5","Archetype I - SDA",1.8,"TFisher",0.996,4.868,0
"5","Archetype I - SDA",1.8,"minP",0.996,2.118,0.008
"5","Archetype I - SDA",1.8,"Stouffer",0.564,5.74,0
"5","Archetype I - SDA",1.8,"Omnibus",0.996,2.598,0
"5","Archetype II - CME",0.5,"ACAT",0.148,3.48,0.124
"5","Archetype II - CME",0.5,"Fisher",0.164,3.324,0.132
"5","Archetype II - CME",0.5,"TFisher",0.164,3.744,0.164
"5","Archetype II - CME",0.5,"minP",0.136,3.664,0.248
"5","Archetype II - CME",0.5,"Stouffer",0.156,3.162,0.32
"5","Archetype II - CME",0.5,"Omnibus",0.152,3.626,0.012
"5","Archetype II - CME",0.8,"ACAT",0.256,3.524,0.092
"5","Archetype II - CME",0.8,"Fisher",0.248,3.156,0.176
"5","Archetype II - CME",0.8,"TFisher",0.252,3.69,0.132
"5","Archetype II - CME",0.8,"minP",0.232,3.354,0.316
"5","Archetype II - CME",0.8,"Stouffer",0.228,3.58,0.272
"5","Archetype II - CME",0.8,"Omnibus",0.26,3.696,0.012
"5","Archetype II - CME",1,"ACAT",0.304,3.488,0.1
"5","Archetype II - CME",1,"Fisher",0.332,2.994,0.208
"5","Archetype II - CME",1,"TFisher",0.308,3.688,0.132
"5","Archetype II - CME",1,"minP",0.304,3.616,0.304
"5","Archetype II - CME",1,"Stouffer",0.296,3.632,0.248
"5","Archetype II - CME",1,"Omnibus",0.308,3.582,0.008
"5","Archetype II - CME",1.2,"ACAT",0.372,3.352,0.16
"5","Archetype II - CME",1.2,"Fisher",0.356,3.25,0.188
"5","Archetype II - CME",1.2,"TFisher",0.4,3.56,0.132
"5","Archetype II - CME",1.2,"minP",0.372,3.452,0.272
"5","Archetype II - CME",1.2,"Stouffer",0.288,3.83,0.248
"5","Archetype II - CME",1.2,"Omnibus",0.384,3.556,0
"5","Archetype II - CME",1.5,"ACAT",0.548,3.48,0.152
"5","Archetype II - CME",1.5,"Fisher",0.572,2.878,0.276
"5","Archetype II - CME",1.5,"TFisher",0.556,3.776,0.132
"5","Archetype II - CME",1.5,"minP",0.516,3.768,0.196
"5","Archetype II - CME",1.5,"Stouffer",0.488,3.766,0.24
"5","Archetype II - CME",1.5,"Omnibus",0.556,3.332,0.004
"5","Archetype II - CME",1.8,"ACAT",0.716,3.376,0.244
"5","Archetype II - CME",1.8,"Fisher",0.712,3.078,0.224
"5","Archetype II - CME",1.8,"TFisher",0.724,3.584,0.192
"5","Archetype II - CME",1.8,"minP",0.7,3.716,0.168
