"pathway_id","pathway_name","n_genes","acat_p","fisher_p","stouffer_p_analytic","minp_p_analytic","tfisher_p_analytic","omni_p_final","FDR","genes_used"
"GLUCONEO-PWY","gluconeogenesis I",56,1.0434929616867e-05,0.0812303596222482,0.676733947376764,1.04349865273821e-05,2.2524555554071e-09,9.99900009999e-05,0.000561587676848754,"SORBI_3001G071800;SORBI_3002G230600;SORBI_3003G238500;SORBI_3009G240700;SORBI_3008G186200;SORBI_3007G137600;SORBI_3001G073900;SORBI_3001G219300;SORBI_3006G170800;SORBI_3002G385700;SORBI_3002G309400;SORBI_3003G072300;SORBI_3003G352300;SORBI_3002G277100;SORBI_3007G166300;SORBI_3007G166200;SORBI_3005G154850;SORBI_3009G069600;SORBI_3009G108700;SORBI_3003G280900;SORBI_3003G292400;SORBI_3003G036200;SORBI_3003G036000;SORBI_3004G338000;SORBI_3001G432800;SORBI_3006G198400;SORBI_3010G027000;SORBI_3010G026925;SORBI_3001G426100;SORBI_3002G186900;SORBI_3003G336000;SORBI_3008G116600;SORBI_3001G384100;SORBI_3010G221800;SORBI_3009G183700;SORBI_3004G055200;SORBI_3001G236800;SORBI_3010G262466;SORBI_3010G262500;SORBI_3010G262433;SORBI_3010G100200;SORBI_3009G016700;SORBI_3005G159000;SORBI_3004G056400;SORBI_3004G205100;SORBI_3007G025400;SORBI_3010G188300;SORBI_3003G096000;SORBI_3003G393900;SORBI_3005G056400;SORBI_3008G053200;SORBI_3004G146000;SORBI_3010G219700;SORBI_3003G367500;SORBI_3009G152700;SORBI_3001G425400"
"GLUGLNSYN-PWY","L-glutamate biosynthesis IV",6,6.21619296991103e-12,1.80332648108396e-13,4.63062096052466e-06,6.2159999999839e-12,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3007G174600;SORBI_3004G209300;SORBI_3005G150250;SORBI_3009G225700;SORBI_3003G258800;SORBI_3010G060800"
"GLUTAMINDEG-PWY","L-glutamine degradation I",34,3.52115603714334e-11,1e-15,3.43597386279413e-06,3.5223999999398e-11,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3003G221200;SORBI_3003G241000;SORBI_3003G017300;SORBI_3009G239500;SORBI_3009G239301;SORBI_3008G127100;SORBI_3003G193700;SORBI_3004G265900;SORBI_3007G104300;SORBI_3010G060800;SORBI_3003G258800;SORBI_3009G225700;SORBI_3005G150250;SORBI_3004G209300;SORBI_3007G174600;SORBI_3010G110000;SORBI_3005G003200;SORBI_3008G139800;SORBI_3001G406800;SORBI_3001G432300;SORBI_3006G278500;SORBI_3001G265500;SORBI_3001G151700;SORBI_3006G028000;SORBI_3006G027900;SORBI_3002G301500;SORBI_3005G143500;SORBI_3005G139300;SORBI_3006G237100;SORBI_3002G301600;SORBI_3002G301700;SORBI_3004G028500;SORBI_3002G005600;SORBI_3002G402700"
"GLYOXYLATE-BYPASS","glyoxylate cycle",17,3.16772799260093e-06,0.000113442281727023,0.0263711685512593,3.1677752777314e-06,1.11022302462516e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3003G238500;SORBI_3009G240700;SORBI_3008G186200;SORBI_3007G137600;SORBI_3001G073900;SORBI_3001G219300;SORBI_3006G170800;SORBI_3002G385700;SORBI_3002G309400;SORBI_3007G068100;SORBI_3001G512800;SORBI_3006G000100;SORBI_3002G316900;SORBI_3004G101900;SORBI_3004G078000;SORBI_3002G324000;SORBI_3006G127100"
"HOMOSER-THRESYN-PWY","L-threonine biosynthesis",3,2.4809461960373e-05,8.22638182165367e-06,0.00139869360995511,2.48283945141075e-05,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3003G265400;SORBI_3009G220000;SORBI_3004G357900"
"LIPASYN-PWY","phospholipases",106,2.08490310662939e-06,0.00140120922458732,0.505576260029681,3.30899657690731e-06,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3009G027800;SORBI_3005G018900;SORBI_3005G002000;SORBI_3008G090600;SORBI_3008G002000;SORBI_3001G408001;SORBI_3002G430500;SORBI_3003G107900;SORBI_3003G430100;SORBI_3005G170100;SORBI_3001G008600;SORBI_3001G029200;SORBI_3010G159700;SORBI_3010G159900;SORBI_3010G160000;SORBI_3010G047800;SORBI_3003G370500;SORBI_3003G390900;SORBI_3010G160033;SORBI_3003G370600;SORBI_3003G432600;SORBI_3003G239200;SORBI_3003G038000;SORBI_3003G239500;SORBI_3003G274700;SORBI_3003G239100;SORBI_3003G418700;SORBI_3003G391000;SORBI_3009G135100;SORBI_3009G240600;SORBI_3009G125300;SORBI_3009G240500;SORBI_3009G117500;SORBI_3009G014600;SORBI_3009G149700;SORBI_3005G203800;SORBI_3005G111400;SORBI_3005G032700;SORBI_3008G170100;SORBI_3004G297600;SORBI_3004G300100;SORBI_3007G187000;SORBI_3007G011300;SORBI_3007G036900;SORBI_3001G373200;SORBI_3001G365100;SORBI_3001G295700;SORBI_3006G214500;SORBI_3002G320900;SORBI_3002G409500;SORBI_3002G262300;SORBI_3002G177200;SORBI_3002G213300;SORBI_3010G228100;SORBI_3003G029000;SORBI_3003G029200;SORBI_3003G389400;SORBI_3003G074600;SORBI_3003G074500;SORBI_3005G186400;SORBI_3005G186100;SORBI_3005G159400;SORBI_3005G186200;SORBI_3005G219100;SORBI_3005G219000;SORBI_3005G145100;SORBI_3008G135401;SORBI_3008G166050;SORBI_3004G357800;SORBI_3007G158700;SORBI_3007G158500;SORBI_3007G158600;SORBI_3007G158800;SORBI_3001G157700;SORBI_3001G433900;SORBI_3001G103800;SORBI_3001G279800;SORBI_3001G288200;SORBI_3001G448800;SORBI_3001G348600;SORBI_3001G067500;SORBI_3001G429900;SORBI_3001G120400;SORBI_3001G158200;SORBI_3001G157900;SORBI_3006G276100;SORBI_3002G401900;SORBI_3002G228700;SORBI_3002G031800;SORBI_3002G377600;SORBI_3010G209900;SORBI_3010G185600;SORBI_3003G147000;SORBI_3003G050400;SORBI_3009G109925;SORBI_3009G062600;SORBI_3009G110000;SORBI_3005G222500;SORBI_3008G183400;SORBI_3004G016900;SORBI_3001G529800;SORBI_3001G349800;SORBI_3001G320200;SORBI_3002G098900;SORBI_3002G282500;SORBI_3002G204500"
"PHOSLIPSYN2-PWY","superpathway of phospholipid biosynthesis II (plants)",4,1.31104657179396e-11,3.28716850286528e-10,4.57347144722983e-06,1.31103999999355e-11,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3003G095800;SORBI_3009G225100;SORBI_3010G223300;SORBI_3006G060000"
"PWY-1269","CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis",3,2.69769509565899e-13,8.90793149203188e-12,2.37046503899489e-05,2.69807999999976e-13,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3004G047400;SORBI_3008G075200;SORBI_3009G231100"
"PWY-2161B","glutamate removal from folates",3,0.00076011953921445,1.29310370179203e-07,6.02678568134183e-09,0.00186082458258312,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3009G199001;SORBI_3009G199200;SORBI_3009G199100"
"PWY-2161B-PMN","folate polyglutamylation II",5,0.00126005448870575,1.49971391359249e-07,3.38512324216925e-07,0.00309945020180135,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3001G535500;SORBI_3001G201900;SORBI_3009G199001;SORBI_3009G199200;SORBI_3009G199100"
