"GENE","magma_p","magma_z","n_top_pathways","best_pathway_p","pathway_rank","pathways","gwas_min_p","gwas_rank","magma_rank","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"SORBI_3009G238700",1.5258e-12,6.733,1,5.95944405557204e-35,1,"PWY-3781",1.5258e-12,39.5,39.5,TRUE,TRUE,TRUE,3,9.29139961649566
"SORBI_3009G231300",4.8208e-15,7.7045,0,NA,NA,NA,4.8208e-15,1,1,TRUE,TRUE,FALSE,2,9.06211438246658
"SORBI_3009G231200",5.1416e-15,7.6006,0,NA,NA,NA,5.1416e-15,2,2,TRUE,TRUE,FALSE,2,8.46005439113862
"SORBI_3009G229300",4.8629e-13,7.1342,1,1.27070057612817e-21,5,"PWY-5800",4.8629e-13,23,23,TRUE,TRUE,TRUE,3,8.42825438774853
"SORBI_3009G241200",5.884e-09,5.0123,1,5.95944405557204e-35,1,"PWY-3781",5.884e-09,141,141,TRUE,TRUE,TRUE,3,8.18615558243782
"SORBI_3009G231400",1.7071e-14,7.3146,0,NA,NA,NA,1.7071e-14,3,3,TRUE,TRUE,FALSE,2,8.10787187302725
"SORBI_3009G225700",1.036e-12,7.4778,5,1.00322616347272e-18,10,"PWY-5921; GLUGLNSYN-PWY; GLUTAMINDEG-PWY; PWY-6963; PWY4LZ-81",1.036e-12,31,31,TRUE,TRUE,TRUE,3,7.8792511098234
"SORBI_3009G226250",1.8517e-14,7.4733,0,NA,NA,NA,1.8517e-14,4,4,TRUE,TRUE,FALSE,2,7.85799439981065
"SORBI_3009G250700",2.7754e-07,4.5417,1,5.95944405557204e-35,1,"PWY-3781",2.7754e-07,247,247,FALSE,TRUE,TRUE,2,7.69919990122924
"SORBI_3009G229400",1.983e-14,7.3207,0,NA,NA,NA,1.983e-14,5,5,TRUE,TRUE,FALSE,2,7.66417437379454
"SORBI_3009G245600",9.3112e-07,5.0052,1,5.95944405557204e-35,1,"PWY-3781",9.3112e-07,283,283,FALSE,TRUE,TRUE,2,7.5810209367
"SORBI_3009G231100",8.9936e-14,7.7039,1,2.34701944763964e-09,35,"PWY-1269",8.9936e-14,16,16,TRUE,TRUE,TRUE,3,7.5168227483326
"SORBI_3009G229600",3.2972e-14,6.2135,0,NA,NA,NA,3.2972e-14,6,6,TRUE,TRUE,FALSE,2,7.50581188169929
"SORBI_3009G246400",6.3153e-07,5.2105,8,1.23132121837649e-32,2,"PWY-5910; PWY-5807; PWY-5120; PWY-5121; PWY-5805; PWY-5863; PWY-5864; PWYQT-4449",6.3153e-07,271,271,FALSE,TRUE,TRUE,2,7.3871386643791
"SORBI_3009G225100",3.2776e-12,6.7105,2,6.04413799023497e-18,11,"PHOSLIPSYN2-PWY; PWY-5669",3.2776e-12,50.5,50.5,TRUE,TRUE,TRUE,3,7.37739818913851
"SORBI_3009G254200",1.3811e-05,4.4516,1,5.95944405557204e-35,1,"PWY-3781",1.3811e-05,372,372,FALSE,FALSE,TRUE,1,7.34350792798478
"SORBI_3007G006800",1.4532e-05,3.2266,1,5.95944405557204e-35,1,"PWY-3781",1.4532e-05,377,377,FALSE,FALSE,TRUE,1,7.33191110733699
"SORBI_3009G216800",1.9152e-06,4.6316,6,1.23132121837649e-32,2,"PWY-5910; PWY-5120; PWY-5123; PWY-5121; PWY-5863; PWYQT-4449",1.9152e-06,302,302,FALSE,FALSE,TRUE,1,7.29306336021362
"SORBI_3009G227700",3.5417e-14,5.8953,0,NA,NA,NA,3.5417e-14,8,8,TRUE,TRUE,FALSE,2,7.25593440848269
"SORBI_3009G227800",3.5417e-14,6.0583,0,NA,NA,NA,3.5417e-14,8,8,TRUE,TRUE,FALSE,2,7.25593440848269
"SORBI_3009G227900",3.5417e-14,6.1754,0,NA,NA,NA,3.5417e-14,8,8,TRUE,TRUE,FALSE,2,7.25593440848269
"SORBI_3009G226600",1.0209e-12,7.2291,2,9.37574088573277e-12,26,"TRIGLSYN-PWY; PWYIO2-7",1.0209e-12,30,30,TRUE,TRUE,TRUE,3,7.21067131338864
"SORBI_3001G016100",4.4192e-05,3.2607,1,5.95944405557204e-35,1,"PWY-3781",4.4192e-05,448,448,FALSE,FALSE,TRUE,1,7.18203777975229
"SORBI_3001G016300",7.7138e-05,3.1091,1,5.95944405557204e-35,1,"PWY-3781",7.7138e-05,488,488,FALSE,FALSE,TRUE,1,7.10775416374315
"SORBI_3009G211100",0.00011545,4.4962,1,5.95944405557204e-35,1,"PWY-3781",0.00011545,514,514,FALSE,FALSE,TRUE,1,7.06266756975803
"SORBI_3009G251600",0.0002037,3.3155,1,5.95944405557204e-35,1,"PWY-3781",0.0002037,565,565,FALSE,FALSE,TRUE,1,6.9804969121097
"SORBI_3009G229900",5.4296e-14,6.5706,0,NA,NA,NA,5.4296e-14,11,11,TRUE,TRUE,FALSE,2,6.97932901215013
"SORBI_3009G230000",5.4296e-14,6.7825,0,NA,NA,NA,5.4296e-14,11,11,TRUE,TRUE,FALSE,2,6.97932901215013
"SORBI_3009G230100",5.4296e-14,7.1953,0,NA,NA,NA,5.4296e-14,11,11,TRUE,TRUE,FALSE,2,6.97932901215013
"SORBI_3007G171500",0.00036796,3.2982,1,5.95944405557204e-35,1,"PWY-3781",0.00036796,634,634,FALSE,FALSE,TRUE,1,6.88041529198511
