"pathway_id","pathway_name","n_genes","acat_p","fisher_p","stouffer_p","minp_p","tfisher_p","omni_p","FDR"
"ALACAT2-PWY","L-alanine degradation II (to D-lactate)",0,NA,NA,NA,NA,NA,NA,NA
"ALANINE-DEG3-PWY","L-alanine degradation III",0,NA,NA,NA,NA,NA,NA,NA
"ALANINE-SYN2-PWY","L-alanine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"ARG-PRO-PWY","L-arginine degradation VI (arginase 2 pathway)",0,NA,NA,NA,NA,NA,NA,NA
"ARGASEDEG-PWY","L-arginine degradation I (arginase pathway)",0,NA,NA,NA,NA,NA,NA,NA
"ARGSPECAT-PWY","spermine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"ARGSYN-PWY","L-arginine biosynthesis I (via L-ornithine)",0,NA,NA,NA,NA,NA,NA,NA
"ARGSYNBSUB-PWY","L-arginine biosynthesis II (acetyl cycle)",0,NA,NA,NA,NA,NA,NA,NA
"ASPARAGINE-BIOSYNTHESIS","L-asparagine biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"ASPARAGINE-DEG1-PWY","L-asparagine degradation I",0,NA,NA,NA,NA,NA,NA,NA
"ASPARAGINESYN-PWY","L-asparagine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"ASPARTATE-DEG1-PWY","L-aspartate degradation I",0,NA,NA,NA,NA,NA,NA,NA
"ASPARTATESYN-PWY","L-aspartate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"ASPSYNII-PWY","cyanide detoxification I",0,NA,NA,NA,NA,NA,NA,NA
"BSUBPOLYAMSYN-PWY","spermidine biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"CALVIN-PWY","Calvin-Benson-Bassham cycle",0,NA,NA,NA,NA,NA,NA,NA
"CAROTENOID-PWY","superpathway of carotenoid biosynthesis in plants",0,NA,NA,NA,NA,NA,NA,NA
"CHLOROPHYLL-SYN","3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)",0,NA,NA,NA,NA,NA,NA,NA
"CITRULLINE-DEG-PWY","L-citrulline degradation",0,NA,NA,NA,NA,NA,NA,NA
"COA-PWY","coenzyme A biosynthesis I (prokaryotic)",0,NA,NA,NA,NA,NA,NA,NA
"CYANCAT-PWY","cyanate degradation",0,NA,NA,NA,NA,NA,NA,NA
"CYSTSYN-PWY","L-cysteine biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"DETOX1-PWY","superoxide radicals degradation",0,NA,NA,NA,NA,NA,NA,NA
"DTDPRHAMSYN-PWY","dTDP-L-rhamnose biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"ETHYL-PWY","ethylene biosynthesis I (plants)",0,NA,NA,NA,NA,NA,NA,NA
"FASYN-ELONG-PWY","fatty acid elongation -- saturated",0,NA,NA,NA,NA,NA,NA,NA
"GALACTMETAB-PWY","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)",0,NA,NA,NA,NA,NA,NA,NA
"GLNSYN-PWY","L-glutamine biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",0,NA,NA,NA,NA,NA,NA,NA
"GLUCOSE1PMETAB-PWY","glucose and glucose-1-phosphate degradation",0,NA,NA,NA,NA,NA,NA,NA
"GLUGLNSYN-PWY","L-glutamate biosynthesis IV",0,NA,NA,NA,NA,NA,NA,NA
"GLUT-REDOX-PWY","glutathione-glutaredoxin redox reactions",0,NA,NA,NA,NA,NA,NA,NA
"GLUTAMATE-DEG1-PWY","L-glutamate degradation I",0,NA,NA,NA,NA,NA,NA,NA
"GLUTAMINDEG-PWY","L-glutamine degradation I",0,NA,NA,NA,NA,NA,NA,NA
"GLUTATHIONESYN-PWY","glutathione biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"GLUTORN-PWY","L-ornithine biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"GLYCLEAV-PWY","glycine cleavage",0,NA,NA,NA,NA,NA,NA,NA
"GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)",0,NA,NA,NA,NA,NA,NA,NA
"GLYOXYLATE-BYPASS","glyoxylate cycle",0,NA,NA,NA,NA,NA,NA,NA
"GLYSYN-ALA-PWY","glycine biosynthesis III",0,NA,NA,NA,NA,NA,NA,NA
"GLYSYN2-PWY","glycine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"HEME-BIOSYNTHESIS-II","heme <i>b</i> biosynthesis I (aerobic)",0,NA,NA,NA,NA,NA,NA,NA
"HEXPPSYN-PWY","hexaprenyl diphosphate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"HISTSYN-PWY","L-histidine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"HOMOSER-THRESYN-PWY","L-threonine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"HOMOSERSYN-PWY","L-homoserine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"ILEUSYN-PWY","L-isoleucine biosynthesis I (from threonine)",0,NA,NA,NA,NA,NA,NA,NA
"KDOSYN-PWY","Kdo transfer to lipid IV<sub>A</sub> I",0,NA,NA,NA,NA,NA,NA,NA
"LEU-DEG2-PWY","L-leucine degradation I",0,NA,NA,NA,NA,NA,NA,NA
"LEUSYN-PWY","L-leucine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"LIPAS-PWY","triacylglycerol degradation",0,NA,NA,NA,NA,NA,NA,NA
"LIPASYN-PWY","phospholipases",0,NA,NA,NA,NA,NA,NA,NA
"MANNCAT-PWY","D-mannose degradation",0,NA,NA,NA,NA,NA,NA,NA
"MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","protein <i>N</i>-glycosylation initial phase (eukaryotic)",0,NA,NA,NA,NA,NA,NA,NA
"METHIONINE-DEG1-PWY","L-methionine degradation I (to L-homocysteine)",0,NA,NA,NA,NA,NA,NA,NA
"NAGLIPASYN-PWY","lipid IV<sub>A</sub> biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"NONMEVIPP-PWY","methylerythritol phosphate pathway I",0,NA,NA,NA,NA,NA,NA,NA
"NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch)",0,NA,NA,NA,NA,NA,NA,NA
"OXIDATIVEPENT-PWY","pentose phosphate pathway (oxidative branch) I",0,NA,NA,NA,NA,NA,NA,NA
"P401-PWY","cyanide degradation",0,NA,NA,NA,NA,NA,NA,NA
"PANTO-PWY","phosphopantothenate biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PHOSLIPSYN2-PWY","superpathway of phospholipid biosynthesis II (plants)",0,NA,NA,NA,NA,NA,NA,NA
"POLYAMINSYN3-PWY","superpathway of polyamine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PROSYN-PWY","L-proline biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PROUT-PWY","L-proline degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-1001","cellulose biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-101","photosynthesis light reactions",0,NA,NA,NA,NA,NA,NA,NA
"PWY-1042","glycolysis IV (plant cytosol)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-1061","homogalacturonan biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-1121","suberin monomers biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-116","coniferin metabolism",0,NA,NA,NA,NA,NA,NA,NA
