candidate_rank,GENE,CHR,START,STOP,NSNPS,NPARAM,N,magma_z,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,magma_p,magma_fdr,magma_bonf,magma_rank,gwas_min_p,gwas_n_snps,gwas_rank,n_top_pathways,mean_pathway_mlog10p,pathways,pathway_names,best_pathway_id,best_pathway_name,best_pathway_p,pathway_rank,hit_gwas,hit_magma,hit_pathway,support_layers,gwas_rank_score,magma_rank_score,pathway_rank_score,multi_pathway_bonus,score,evidence_class
1,SORBI_3004G140501,4,40924367,40976777,788,61,331,6.5462,2.9519e-11,0.2026,3.976e-15,2.9519e-11,4.62979832e-7,1.000930252e-6,1,3.975969e-15,788,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.53030217448527,4.53030217448527,0,0,9.06060434897054,GWAS + MAGMA
2,SORBI_3008G029200,8,2587734,2639762,1087,43,328,5.9947,1.0193e-9,0.012337,2.1751e-12,1.0193e-9,3.45624244e-6,3.45624244e-5,10,3.107246e-13,1087,7,4,5.98326977031028,PWY-5147; PWY-5971; PWY-5989; PWY-5142,oleate biosynthesis I (plants); palmitate biosynthesis II (bacteria and plants); stearate biosynthesis II (bacteria and plants); acyl-[acyl-carrier protein] thioesterase pathway,PWY-5147,oleate biosynthesis I (plants),2.89072709305527e-7,3,TRUE,TRUE,TRUE,3,3.68520413447101,3.53030217448527,2.13460205328768,0.698970004336019,8.49249833690093,All 3
3,SORBI_3004G140800,4,40963173,41013960,1106,61,330,6.497,4.0962e-11,0.17918,2.7832e-14,4.0962e-11,4.62979832e-7,1.388939496e-6,3,3.975969e-15,1106,3,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.05318091976561,4.05318091976561,0,0,8.10636183953122,GWAS + MAGMA
4,SORBI_3004G140600,4,40934559,40991085,1037,65,331,5.8258,2.8426e-9,0.19641,4.1271e-12,2.8426e-9,6.8847772e-6,9.63868808e-5,14,3.975969e-15,1037,2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.22927217882129,3.38417413880703,0,0,7.61344631762832,GWAS + MAGMA
5,SORBI_3009G090500,9,17671052,17728851,979,63,329,6.0667,6.53e-10,0.22238,1.4458e-13,6.53e-10,2.7677405e-6,2.2141924e-5,8,1.445844e-13,979,4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.92824218315731,3.62721218749333,0,0,7.55545437065064,GWAS + MAGMA
6,SORBI_3008G028900,8,2562467,2613560,1089,45,329,6.1895,3.0183e-10,0.0036755,2.2713e-12,3.0183e-10,1.46206452e-6,1.023445164e-5,7,3.107246e-13,1089,5,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.83133217014925,3.68520413447101,0,0,7.51653630462027,GWAS + MAGMA
7,SORBI_3008G028800,8,2549561,2600647,768,49,329,6.5121,3.7061e-11,0.0015192,2.2713e-12,3.7061e-11,4.62979832e-7,1.256664388e-6,2,2.271261e-12,768,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.25154857353244,4.22927217882129,0,0,7.48082075235373,GWAS + MAGMA
8,SORBI_3004G102200,4,9425179,9478286,1520,79,328,6.2031,2.7688e-10,0.015893,7.9252e-13,2.7688e-10,1.46206452e-6,9.38844704e-6,6,7.925157e-13,1520,11,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.48890948932705,3.75215092410163,0,0,7.24106041342867,GWAS + MAGMA
9,SORBI_3008G029300,8,2595463,2650066,1189,34,329,6.0387,7.7657e-10,0.0060483,3.2788e-12,7.7657e-10,2.92577061777778e-6,2.633193556e-5,9,3.107246e-13,1189,8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.62721218749333,3.57605966504595,0,0,7.20327185253927,GWAS + MAGMA
10,SORBI_3008G028850,8,2554135,2605278,946,47,329,6.297,1.5175e-10,0.0033501,2.2713e-12,1.5175e-10,1.28638475e-6,5.145539e-6,4,2.271261e-12,946,20,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.22927217882129,3.92824218315731,0,0,7.1575143619786,GWAS + MAGMA
